firstName,lastName,linkedinUrl,company,ycBatch
Vardhan,Kapoor,https://www.linkedin.com/in/vardhan-kapoor?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA6DMyQBuTG9MO4bWXuX2XEetx54265DFG0,Firstwork (YC & Google AI Backed) I Forbes Human Resources Council I Ex-Deliveroo (LSE:ROO) and Remitly (NASDAQ: RELY) Leadership I Forbes 30U30,YC S24
Michael,Nguyen,https://www.linkedin.com/in/michaelpnguyen?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABS8jMoB2DdOVvxZ7ZOJcjxptsYoZs_KbIU,,YC S24
Carl,C.,https://www.linkedin.com/in/carlcortright?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABCVNY4BvwhLO53weTo5kLPONVjGBY-BQDU,Built to Build,YC S24
Peter,Marler,https://www.linkedin.com/in/marler?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAEdkfQBpEyXQ512qoJEh9zj3m8V9txf31o,Faster/cheaper VOE/I with AI,YC S24
Marie,van der Klink,https://www.linkedin.com/in/marie-van-der-klink?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADPDZR0BEFcd04yGoBBv56bWhe1BeiYgNGk,et al. (YC S24),YC S24
Julia,Turc,https://www.linkedin.com/in/iulia-raluca-turc?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAp_snUBhyKz2f6KIWdhtv1V-tUzBBkC_Lg,Storia (YC S24),YC S24
Leon,Hergert,https://www.linkedin.com/in/leonhergert?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACQU95sBouWrLIqUh0QAEq3CerpZL-IooYQ,Spherecast (YC S24),YC S24
Rabii,Malik,https://www.linkedin.com/in/rabii-malik?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB6IuBIBf--xXR0lSnUGlRQEx6D6ieqyruI,Remo (YC S24),YC S24
Nina,Hu,https://www.linkedin.com/in/ninahuuu?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABBGReYB_LRsextQ3kzT7HwiiDNNXm8G_AA,DreamRP (YC S24),YC S24
Manish,C.,https://www.linkedin.com/in/manishchauhan01?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAANf4OQBv3MO9kYXIDOtNePq0HxaK2OVwGM,SureBright(YC S24),YC S24
Deshraj,Yadav,https://www.linkedin.com/in/deshrajdry?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA_ge6MBz_PVUCMJNE7gJzKeqd-vTX9C4_Y,"Ex - Tesla AI, Snap",YC S24
Srikar,D.,https://www.linkedin.com/in/srikar-d-473390136?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACEo35cBtRorrkTgrnw-mNRKN9OQnBO2xd0,Alter (YC S25),YC S25
Luke,Shiels,https://www.linkedin.com/in/shiels?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACE7-3YBhvDlJBOuk4WywNUdewASLpd0IUk,,YC S25
Khalid,Ashmawy,https://www.linkedin.com/in/khalidashmawy?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAduQdABe9HrfiemXQpoK4qJpbXogToWMEo,Munify (YC S25),YC S25
Pranjali,Awasthi,https://www.linkedin.com/in/pranjali-awasthi-neuro?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADDrgbIB2wj5Muc0zjxuZc5XENtKTw6cCo8,Building slashy.ai (YC S25),YC S25
Farhan,Hossain,https://www.linkedin.com/in/mfarhanh?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAzievIBKHBuvhyMUN_-y_oIvnA57olsev0,Building for Humanity.,YC S25
Henry,Ndubuaku,https://www.linkedin.com/in/henry-ndubuaku-7b6350b8?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABj3vXoB9WffqkgTXWZ9mY8yadryo7_eqH4,,YC S25
Omar,Abdelaziz,https://www.linkedin.com/in/oabdelaziz?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA_ezsoBcmKFjeaiyNRbLET4VtoUvHvn2kI,ex-Google,YC S25
Abhay,Kalra,https://www.linkedin.com/in/abhay-kalra-683688214?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADY0icMB2C2nrK8FpK-3s5UQ9yHhfxynMxw,Avent (YC S25),YC S25
Jinlin,Zhang,https://www.linkedin.com/in/kenny-zhang-jinlin?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACqZORQBKpAxwoE37ZRC9W2V2jJd9QuVaCI,Riff (YC S25),YC S25
Daivik,Goel,https://www.linkedin.com/in/daivikg?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB9xjdABQH1wq3KlP2ZLYsnm1wSabbTMJoY,uWaterloo Eng,YC S25
Edward,Look,https://www.linkedin.com/in/edwlk?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABFKO1sBJP9CwWD0A2Coa3H0DprqJD3OKxw,Floot (YC S25),YC S25
Daniel,Rupawalla,https://www.linkedin.com/in/danielrupawalla?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADkJokoBHS9shm3q5BUuWTPxqZZYHgy5oCo,Nuntius (YC S25),YC S25
Angel,Onuoha,https://www.linkedin.com/in/angel-onuoha?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB9yYxIBwtpvp2dHRh3xHdj_aj8LVHixc4w,Avelis Health (YC S25),YC S25
Ritam,Rana,https://www.linkedin.com/in/ritamrana?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACsQqnABR2IPcJ_donyjrhAblSSx61FvtHg,Knowlify (YC S25),YC S25
Ethan,Gibbs,https://www.linkedin.com/in/etgibbs?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADD6YMUBq3us1otK_zN0Bl6VIkUh5OWU5AA,Embedder (YC S25),YC S25
